antecedent	consequent	count	mean_confidence	max_confidence	mean_lift	max_lift
v@IPR004186	h@GO0044446	13	0.8215	0.8323	0.5825	0.5972
v@IPR004289	h@GO0044446	1	0.723	0.723	0.5188	0.5188
v@IPR004290	h@GO0044446	1	0.74	0.74	0.531	0.531
v@IPR005030	h@GO0044446	7	0.8172	0.8413	0.573	0.6037
v@IPR006772	h@GO0044446	3	0.7333	0.7647	0.4833	0.5487
v@IPR006928	h@GO0044446	4	0.7337	0.7358	0.5264	0.528
v@IPR007619	h@GO0044446	7	0.7612	0.7966	0.5217	0.5716
v@IPR007706	h@GO0044446	11	0.8609	0.8866	0.5948	0.6362
v@IPR010881	h@GO0044446	11	0.7816	0.7962	0.5324	0.5713
v@IPR020124	h@GO0044446	12	0.8086	0.9054	0.3928	0.6497
v@IPR020726	h@GO0044446	5	0.7106	0.7123	0.5099	0.5111
v@IPR026298	h@GO0044446	11	0.7088	0.7161	0.5086	0.5139
v@IPR034702	h@GO0044446	1	0.7358	0.7358	0.528	0.528
v@GO0019042	h@GO0044763	12	0.7592	0.7771	0.4326	0.4715
v@IPR002475	h@GO0044763	9	0.7129	0.7178	0.4325	0.4355
v@IPR004289	h@GO0044763	1	0.7019	0.7019	0.4259	0.4259
v@IPR007619	h@GO0044763	4	0.7342	0.7345	0.4455	0.4456
v@IPR007706	h@GO0044763	3	0.7421	0.7736	0.4063	0.4694
v@IPR010677	h@GO0044763	1	0.7206	0.7206	0.4372	0.4372
v@IPR010881	h@GO0044763	12	0.7592	0.7771	0.4326	0.4715
v@IPR020726	h@GO0044763	5	0.7076	0.7161	0.4293	0.4345
v@IPR026298	h@GO0044763	11	0.7145	0.7259	0.4335	0.4405
v@GO0019042	h@GO0048518	2	0.7019	0.7019	0.3092	0.312
v@IPR010881	h@GO0048518	2	0.7019	0.7019	0.3092	0.312
v@GO0001071	h@GO0050794	20	0.7351	0.7571	0.4708	0.4919
v@GO0019042	h@GO0050794	12	0.7544	0.7764	0.4518	0.5044
v@GO0019079	h@GO0050794	11	0.773	0.8136	0.49	0.5285
v@GO0048518	h@GO0050794	22	0.7224	0.7475	0.4693	0.4856
v@IPR000427	h@GO0050794	1	0.7081	0.7081	0.46	0.46
v@IPR004186	h@GO0050794	1	0.7081	0.7081	0.46	0.46
v@IPR007706	h@GO0050794	12	0.7796	0.8041	0.4742	0.5224
v@IPR010881	h@GO0050794	12	0.7544	0.7764	0.4518	0.5044
v@GO0000988	h@GO0071704	6	0.7305	0.7439	0.3978	0.4244
v@GO0001071	h@GO0071704	23	0.7618	0.7871	0.4242	0.449
v@GO0019042	h@GO0071704	10	0.7485	0.7578	0.421	0.4323
v@GO0019079	h@GO0071704	13	0.7638	0.822	0.4237	0.469
v@GO0019083	h@GO0071704	15	0.743	0.7583	0.4134	0.4326
v@GO0019222	h@GO0071704	32	0.7358	0.776	0.4179	0.4427
v@GO0044094	h@GO0071704	29	0.7623	0.8306	0.4294	0.4738
v@GO0048518	h@GO0071704	23	0.7266	0.7871	0.4131	0.449
v@GO0065009	h@GO0071704	24	0.7322	0.7767	0.4164	0.4431
v@GO0097159	h@GO0071704	20	0.7629	0.8306	0.4352	0.4738
v@GO1901363	h@GO0071704	20	0.7629	0.8306	0.4352	0.4738
v@IPR000427	h@GO0071704	15	0.7468	0.7702	0.4155	0.4394
v@IPR004186	h@GO0071704	15	0.7468	0.7702	0.4155	0.4394
v@IPR005030	h@GO0071704	8	0.7347	0.7472	0.4049	0.4263
v@IPR007706	h@GO0071704	3	0.7138	0.7264	0.3754	0.4144
v@IPR010881	h@GO0071704	10	0.7485	0.7578	0.421	0.4323
v@IPR020124	h@GO0071704	10	0.7736	0.8176	0.35	0.4664
v@GO0044094	h@GO0097159	19	0.7634	0.924	0.3352	0.4057
v@IPR005030	h@GO0097159	7	0.7143	0.7435	0.305	0.3264
v@IPR020124	h@GO0097159	12	0.8209	0.9459	0.2704	0.4153
v@GO0044094	h@GO1901363	19	0.7634	0.924	0.3333	0.4034
v@IPR005030	h@GO1901363	7	0.7143	0.7435	0.3032	0.3246
v@IPR020124	h@GO1901363	12	0.8209	0.9459	0.2688	0.413
h@GO0000988	v@GO0033647	1	0.7578	0.7578	0.3737	0.3737
h@GO0019899	v@GO0033647	1	0.7578	0.7578	0.3737	0.3737
h@GO0003682	v@GO0033647	2	0.7115	0.7197	0.3508	0.3549
h@GO0043228	v@GO0033647	3	0.763	0.8642	0.3762	0.4261
h@GO0044877	v@GO0033647	1	0.7034	0.7034	0.3468	0.3468
h@GO0005198	v@GO0019222	3	0.763	0.7884	0.1872	0.1935
h@GO0005622	v@GO0019222	2	0.7769	0.8144	0.1906	0.1998
h@GO0005198	v@GO0033647	20	0.7575	0.8631	0.3735	0.4256
h@GO0005622	v@GO0033647	5	0.773	0.8683	0.3811	0.4281
h@GO0005198	v@GO0050794	5	0.7543	0.8133	0.2506	0.2701
h@GO0005622	v@GO0050794	2	0.7822	0.8204	0.2598	0.2725
h@GO0006807	v@GO0033647	1	0.7177	0.7177	0.3539	0.3539
h@GO0009056	v@GO0019222	3	0.7493	0.7848	0.1839	0.1926
h@GO0009056	v@GO0033647	8	0.7558	0.8608	0.3727	0.4244
h@GO0009056	v@GO0050794	3	0.7711	0.8059	0.2561	0.2677
h@GO0009058	v@GO0033647	6	0.7538	0.8692	0.3717	0.4286
h@GO0009058	v@GO0050794	2	0.768	0.8143	0.2551	0.2705
h@GO0019222	v@GO0033647	2	0.7215	0.7394	0.3558	0.3646
h@GO0030054	v@GO0033647	5	0.7866	0.9149	0.3879	0.4511
h@GO0030529	v@GO0033647	15	0.7629	0.8714	0.3762	0.4296
h@GO0030529	v@GO0050794	8	0.7347	0.8174	0.244	0.2715
h@GO0033036	v@GO0033647	4	0.7572	0.8062	0.3734	0.3975
h@GO0043230	v@GO0033647	3	0.8128	0.9452	0.4008	0.4661
h@GO0044237	v@GO0033647	1	0.723	0.723	0.3565	0.3565
h@GO0044238	v@GO0033647	1	0.7177	0.7177	0.3539	0.3539
h@GO0044421	v@GO0033647	3	0.8114	0.9474	0.4001	0.4671
h@GO0048519	v@GO0033647	3	0.7682	0.8745	0.3788	0.4312
h@GO0051234	v@GO0033647	4	0.75	0.8314	0.3698	0.4099
h@GO0051641	v@GO0033647	5	0.743	0.8037	0.3663	0.3963
h@GO0071704	v@GO0033647	1	0.7199	0.7199	0.355	0.355
